Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Body Material (product.metafields.custom.body_material),Brand (product.metafields.custom.brand),Instrument Compatibility (product.metafields.custom.instrument_compatibility),Instrument Type (product.metafields.custom.instrument_type),Key (product.metafields.custom.key),Key Features 1 (product.metafields.custom.key_features_1),Key Features 2 (product.metafields.custom.key_features_2),Key Features 3 (product.metafields.custom.key_features_3),Key Plating (product.metafields.custom.key_material),Key Post Material (product.metafields.custom.key_post_material),meter (product.metafields.custom.meter),Pad Type (product.metafields.custom.pad_type),Product Grouping Option 1 (product.metafields.custom.product_grouping_option_1),Product Grouping Option 1 Value (product.metafields.custom.product_grouping_option_1_value),Product Type (product.metafields.custom.product_type),Skill Level (product.metafields.custom.skill_level),_Included_Accessories (product.metafields.custom._included_accessories),Product subtitle (product.metafields.descriptors.subtitle),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),rebate new (product.metafields.rebate.new),rebate old (product.metafields.rebate.old),Product rating count (product.metafields.reviews.rating_count),Bell size (product.metafields.shopify.bell-size),Clarinet key system (product.metafields.shopify.clarinet-key-system),Compatible clarinet type (product.metafields.shopify.compatible-clarinet-type),Instrument/Accessory finish (product.metafields.shopify.instrument-accessory-finish),Instrument material (product.metafields.shopify.instrument-material),Mouthpiece (product.metafields.shopify.mouthpiece),Reed strength (product.metafields.shopify.reed-strength),Tip opening (product.metafields.shopify.tip-opening),Tuning pitch (product.metafields.shopify.tuning-pitch),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
buffet-crampon-r13-series,Buffet Crampon R13 A Clarinet,"<style>
  .h1 {
    text-align: center;
    font-size: 2.5rem;
    font-style: bold strong;
    font-family: ""Philosopher"";
  }

  .h2 {
    text-align: center;
    font-size: 2.5rem;
    font-style: bold strong;
    font-family: ""Philosopher"";
  }

  .h3 {
    text-align: center;
    font-size: 2rem;
    font-style: italic;
  }

  .text-center {
    text-align: center;
  }

  .text-center1 {
    text-align: center;
    font-style: italic;
    color: #9b7733;
  }

  .text-center2 {
    text-align: center;
    text-decoration: underline;
    color: #414040;
  }

  .tabs {
    display: flex;
    justify-content: center;
    border-bottom: 2px solid #ddd;
    border-radius: 5px 5px 0 0;
    margin: 20px 0;
  }

  .tab {
    padding: 10px 20px;
    cursor: pointer;
    font-weight: bold;
    background-color: #C7B38A;
    border: 1px solid #ddd;
    border-bottom: none;
    margin-right: 5px;
    border-radius: 5px 5px 0 0;
  }

  .tab.active {
    background-color: #dcc18825;
    border-bottom: 2px solid #dcc18825;
    box-shadow: 2px 0px 5px rgba(0, 0, 0, 0.6);
  }

  .tab-content {
    display: none;
    padding: 15px;
    background-color: #DCC18850;
    border: 1px solid #ddd;
    border-radius: 5px;
  }

  .tab-content.active {
    display: block;
  }

  .spec-table {
    width: 100%;
    border-collapse: collapse;
    margin: 0 auto;
  }

  .spec-table th,
  .spec-table td {
    padding: 8px;
    border: 1px solid #ddd;
  }

  .spec-table th {
    background-color: #f9f9f9;
    text-align: left;
  }
</style>

<article>
  <header>
    <h1 class=""h1"">Buffet Crampon R13 A Clarinet</h1>
    <p class=""text-center1"">The Legendary Choice of Professionals</p>
    <p>
      Since its creation in 1955 by Robert Carrée, the <strong>Buffet Crampon R13 A Clarinet</strong> has become a cornerstone of professional clarinet performance. Known for its rich harmonics, powerful projection, and warm centered tone, it continues to captivate soloists, orchestras, students, and amateurs worldwide.
    </p>
  </header>

  <!-- Tab Navigation -->
  <div class=""tabs"">
    <div data-tab=""overview"" class=""tab active"">Overview</div>
    <div data-tab=""features"" class=""tab"">Features</div>
    <div data-tab=""specifications"" class=""tab"">Specifications</div>
  </div>

  <!-- Tab Content: Overview -->
  <div class=""tab-content active"" id=""overview"">
    <p class=""h2""><strong>A Clarinet for Every Repertoire</strong></p>
    <p>
      The R13 A Clarinet offers unmatched versatility, excelling across symphonic, chamber, and solo repertoire. Its poly-cylindrical bore ensures precise intonation and seamless transitions, allowing musicians to explore the full range of their artistry with confidence and ease.
    </p>
  </div>

  <!-- Tab Content: Features -->
  <div class=""tab-content"" id=""features"">
    <section>
      <header>
        <h1 class=""h2""><strong>Professional Design &amp; Artistry</strong></h1>
        <p class=""text-center1""><strong>Craftsmanship that Inspires</strong></p>
        <p>
          Crafted from high-quality grenadilla wood, the R13 A Clarinet produces a warm, resonant tone. Its silver-plated keywork provides a smooth, reliable feel, while the adjustable thumb rest offers ergonomic comfort for extended play sessions. Designed for musicians who demand precision, this clarinet is a timeless classic.
        </p>
      </header>
    </section>

    <section>
      <h2 class=""h3""><strong>Trusted by Generations</strong></h2>
      <p>
        The R13’s legacy as a professional standard is rooted in its consistent performance and quality. Whether performing intricate technical passages or lyrical melodies, this clarinet delivers exceptional sound and reliability that players have trusted for decades.
      </p>
    </section>
  </div>

  <!-- Tab Content: Specifications -->
  <div class=""tab-content"" id=""specifications"">
    <p class=""h2""><strong>Key Specifications</strong></p>
    <table class=""spec-table"">
      <colgroup>
        <col style=""width: 33%;"">
        <col style=""width: 67%;"">
      </colgroup>
      <tbody>
        <tr>
          <th>Model</th>
          <td>R13 A Clarinet</td>
        </tr>
        <tr>
          <th>Key</th>
          <td>A</td>
        </tr>
        <tr>
          <th>Pitch</th>
          <td>440/442 Hz</td>
        </tr>
        <tr>
          <th>Body Material</th>
          <td>Grenadilla wood (Dalbergia Melanoxylon) or GreenLinE</td>
        </tr>
        <tr>
          <th>Bore</th>
          <td>Poly-cylindrical</td>
        </tr>
        <tr>
          <th>Barrel</th>
          <td>65 mm</td>
        </tr>
        <tr>
          <th>Keywork</th>
          <td>17 keys, 6 rings; silver-plated or nickel-plated</td>
        </tr>
        <tr>
          <th>Thumb Rest</th>
          <td>Adjustable</td>
        </tr>
        <tr>
          <th>Pads</th>
          <td>Bladder</td>
        </tr>
        <tr>
          <th>Case</th>
          <td>Traditional wooden case</td>
        </tr>
        <tr>
          <th>Accessories</th>
          <td>Ligature, mouthpiece cap, swab, cork grease, pencil</td>
        </tr>
      </tbody>
    </table>
  </div>

  <footer>
    <p>
      The <strong>Buffet Crampon R13 A Clarinet</strong> continues to set the standard for professional clarinets. With its unparalleled craftsmanship, tonal flexibility, and rich legacy, it remains an essential instrument for musicians aspiring to greatness.
    </p>
  </footer>
</article>

<script>
  // Tab functionality
  const tabs = document.querySelectorAll('.tab');
  const contents = document.querySelectorAll('.tab-content');

  tabs.forEach(tab => {
    tab.addEventListener('click', () => {
      // Remove 'active' class from all tabs and contents
      tabs.forEach(t => t.classList.remove('active'));
      contents.forEach(c => c.classList.remove('active'));

      // Add 'active' class to the clicked tab and corresponding content
      tab.classList.add('active');
      document.getElementById(tab.dataset.tab).classList.add('active');
    });
  });
</script>
",Buffet Crampon,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Woodwinds > Clarinets,Clarinets,"buffet, buffet-crampon, clarinet, INSTRUMENT, Key of A, New, pro, Professional, r13",true,Body Material,Grenadilla,,Key Plating,Nickel,,,,,BC1231-5-0,6259.574706,shopify,continue,manual,5118.00,8738.00,true,true,"",https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCramponR13AClarinet_Grenadilla0.webp?v=1737619634,1,"",false,Buffet Crampon R13 A Clarinet – The Legendary Professional Choice,"Discover the Buffet Crampon R13 A Clarinet, a professional clarinet offering rich tone, versatility, and quality craftsmanship since 1955 for musicians at every level.",,,,,,,,,,,, Grenadilla Wood,Buffet Crampon,A Soprano Clarinet,A Soprano Clarinet, A,,,," Silver Plated
 Nickel Plated", Silver Plated,, Skin Pads,,,Instrument,"Intermediate
Professional",,,,,,30000,15000,,,boehm,,black,african-blackwood,bb; a,,,,,,,,,lb,,4134.00,active
buffet-crampon-r13-series,,,,,,,,,Grenadilla,,,Silver,,,,,BC1231-2-0,6259.574706,shopify,continue,manual,5671.00,9682.00,true,true,0695121001847,https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCramponR13AClarinet_Grenadilla4.webp?v=1737619662,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,4580.00,
buffet-crampon-r13-series,,,,,,,,,Greenline,,,Silver,,,,,BC1231G-2-0,6259.574706,shopify,continue,manual,5671.00,9682.00,true,true,"",https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCramponR13AClarinet_Grenadilla3.webp?v=1737619662,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,4580.00,
buffet-crampon-r13-series,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCramponR13AClarinet_Grenadilla1.webp?v=1737619662,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buffet-crampon-r13-series,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCramponR13B_Clarinet_GrenadillaWood4.webp?v=1737619694,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buffet-crampon-e12f,Buffet Crampon E12F B♭ Clarinet,"
<style>
  .h1 {
    text-align: center;
    font-size: 2.5rem;
    font-style: bold strong;
    font-family: ""Philosopher"";
  }

  .h2 {
    text-align: center;
    font-size: 2.5rem;
    font-style: bold strong;
    font-family: ""Philosopher"";
  }

  .h3 {
    text-align: center;
    font-size: 2rem;
    font-style: italic;
  }

  .text-center {
    text-align: center;
  }

  .text-center1 {
    text-align: center;
    font-style: italic;
    color: #9b7733;
  }

  .text-center2 {
    text-align: center;
    text-decoration: underline;
    color: #414040;
  }

  .tabs {
    display: flex;
    justify-content: center;
    border-bottom: 2px solid #ddd;
    border-radius: 5px 5px 0 0;
    margin: 20px 0;
  }

  .tab {
    padding: 10px 20px;
    cursor: pointer;
    font-weight: bold;
    background-color: #C7B38A;
    border: 1px solid #ddd;
    border-bottom: none;
    margin-right: 5px;
    border-radius: 5px 5px 0 0;
  }

  .tab.active {
    background-color: #dcc18825;
    border-bottom: 2px solid #dcc18825;
    box-shadow: 2px 0px 5px rgba(0, 0, 0, 0.6);
  }

  .tab-content {
    display: none;
    padding: 15px;
    background-color: #DCC18850;
    border: 1px solid #ddd;
    border-radius: 5px;
  }

  .tab-content.active {
    display: block;
  }

  .spec-table {
    width: 100%;
    border-collapse: collapse;
    margin: 0 auto;
  }

  .spec-table th,
  .spec-table td {
    padding: 8px;
    border: 1px solid #ddd;
  }

  .spec-table th {
    background-color: #f9f9f9;
    text-align: left;
  }
</style>

<article>
  <header>
    <h1 class=""h1"">Buffet Crampon E12F B♭ Clarinet</h1>
    <p class=""text-center1"">Where Professional Sound Meets Student Accessibility</p>
    <p>
      The <strong>Buffet Crampon E12F B♭ Clarinet</strong> is designed for advanced students and professionals seeking an instrument that combines professional sound quality, precise intonation, and comfortable playability. Developed through Franco-German expertise, this clarinet reflects the best of Buffet Crampon’s craftsmanship.
    </p>
  </header>

  <!-- Tab Navigation -->
  <div class=""tabs"">
    <div data-tab=""overview"" class=""tab active"">Overview</div>
    <div data-tab=""features"" class=""tab"">Features</div>
    <div data-tab=""specifications"" class=""tab"">Specifications</div>
  </div>

  <!-- Tab Content: Overview -->
  <div class=""tab-content active"" id=""overview"">
    <p class=""h2""><strong>A Professional Experience for Aspiring Musicians</strong></p>
    <p>
      The E12F offers a warm, resonant tone and precise tuning across registers, thanks to its expertly crafted poly-cylindrical bore. Whether you're performing solo or in an ensemble, the E12F's versatility and expressive sound make it an ideal instrument for advancing your musical journey.
    </p>
  </div>

  <!-- Tab Content: Features -->
  <div class=""tab-content"" id=""features"">
    <section>
      <header>
        <h1 class=""h2""><strong>Engineered for Comfort &amp; Excellence</strong></h1>
        <p class=""text-center1""><strong>Ergonomic Design &amp; Superior Craftsmanship</strong></p>
        <p>
          Featuring an adjustable thumb rest and balanced weight distribution, the E12F ensures comfort during long practice sessions or performances. Its durable African blackwood body is treated and lacquered to withstand the rigors of regular use, while leather pads and blue steel springs provide responsive playability and reliable sealing.
        </p>
      </header>
    </section>

    <section>
      <h2 class=""h3""><strong>Precision Manufacturing</strong></h2>
      <p>
        The E12F is crafted in France and assembled with care in Germany, incorporating features from Buffet Crampon's professional line. The digitally calibrated tone holes and silver-plated keywork reflect the high standards of French and German engineering, ensuring consistent performance for every player.
      </p>
    </section>
  </div>

  <!-- Tab Content: Specifications -->
  <div class=""tab-content"" id=""specifications"">
    <p class=""h2""><strong>Key Specifications</strong></p>
    <table class=""spec-table"">
      <colgroup>
        <col style=""width: 33%;"">
        <col style=""width: 67%;"">
      </colgroup>
      <tbody>
        <tr>
          <th>Model</th>
          <td>E12F B♭ Clarinet</td>
        </tr>
        <tr>
          <th>Key</th>
          <td>B♭</td>
        </tr>
        <tr>
          <th>Body Material</th>
          <td>Dalbergia Melanoxylon, unstained African blackwood, treated and lacquered</td>
        </tr>
        <tr>
          <th>Bore</th>
          <td>Poly-cylindrical</td>
        </tr>
        <tr>
          <th>Barrel</th>
          <td>65 mm</td>
        </tr>
        <tr>
          <th>Keywork</th>
          <td>17 keys, 6 rings, silver-plated</td>
        </tr>
        <tr>
          <th>Thumb Rest</th>
          <td>Adjustable, supports neck strap</td>
        </tr>
        <tr>
          <th>Springs</th>
          <td>Blue steel</td>
        </tr>
        <tr>
          <th>Pads</th>
          <td>Leather</td>
        </tr>
        <tr>
          <th>Case</th>
          <td>Backpack-style case</td>
        </tr>
      </tbody>
    </table>
  </div>

  <footer>
    <p>
      The <strong>Buffet Crampon E12F B♭ Clarinet</strong> offers an unmatched combination of professional sound and student accessibility. Its ergonomic design, precise intonation, and quality craftsmanship make it the perfect choice for advancing musicians.
    </p>
  </footer>
</article>

<script>
  // Tab functionality
  const tabs = document.querySelectorAll('.tab');
  const contents = document.querySelectorAll('.tab-content');

  tabs.forEach(tab => {
    tab.addEventListener('click', () => {
      // Remove 'active' class from all tabs and contents
      tabs.forEach(t => t.classList.remove('active'));
      contents.forEach(c => c.classList.remove('active'));

      // Add 'active' class to the clicked tab and corresponding content
      tab.classList.add('active');
      document.getElementById(tab.dataset.tab).classList.add('active');
    });
  });
</script>
",Buffet Crampon,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Woodwinds > Clarinets > Bb Clarinets,Clarinets,"B Flat, Bb, buffet, buffet-crampon, clarinet, INSTRUMENT, Key of Bb, New, reverbsync-upc-does-not-apply:on, step, wood",true,Title,Default Title,,,,,,,,BC2512F-2-0GB,6259.574706,shopify,continue,manual,2580.00,3440.00,true,true,666605010501,https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCramponE12FB_Clarinet0.webp?v=1737615044,1,"",false,Buffet Crampon E12F B♭ Clarinet – Professional Sound for Students,"Discover the Buffet Crampon E12F B♭ Clarinet, crafted for serious players with precise intonation, comfort, and expert French & German craftsmanship.",88,,,,,,,,,,, Grenadilla Wood,Buffet Crampon,Bb Soprano Clarinet,Bb Soprano Clarinet, Bb,,,, Silver Plated, Silver Plated,, Leather,,,Instrument,,,,,,,15000,7500,,,boehm,,black,african-blackwood,bb,,,,,,,Student Clarinet,,lb,,1371.00,active
buffet-crampon-e12f,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCramponE12FB_Clarinet4.webp?v=1737615151,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buffet-crampon-e12f,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCramponE12FB_Clarinet2.webp?v=1737615151,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buffet-crampon-e12f,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCramponE12FB_Clarinet3.webp?v=1737615151,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buffet-crampon-e12f,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCramponE12FB_Clarinet1.webp?v=1737615151,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buffet-crampon-performance-series-bass-clarinet-low-eb,Buffet Crampon 1180 Bass Clarinet — Low E♭,"<!-- 
  ***********************************************************************
  *  Page Title: Buffet Crampon 1180 Student Bass Clarinet – Ideal for Young Musicians
  *  Meta Description: Explore the Buffet Crampon 1180 Student Bass Clarinet, 
  *  crafted with African blackwood and a redesigned register system for superior playability.
  ***********************************************************************
-->

  
    <link rel=""stylesheet"" href=""https://cdn.shopify.com/s/files/1/0579/3035/0644/files/2025-Product-Description.css?v=1737927231"">
  

<article>
  <header>
    <h1 class=""h1"">Buffet Crampon 1180 Student Bass Clarinet</h1>
    <p class=""text-center1"">Redefining Student Excellence</p>
    <p>
      The <strong>Buffet Crampon 1180 Student Bass Clarinet</strong> is the world’s leading choice for young musicians and amateurs seeking a bass clarinet with professional-grade features. With its redesigned register key system, high-quality African blackwood body, and exceptional craftsmanship, it sets a new standard for student instruments.
    </p>
  </header>

  <!-- Tab Navigation -->
  <div class=""tabs"">
    <div data-tab=""overview"" class=""tab active"">Overview</div>
    <div data-tab=""features"" class=""tab"">Features</div>
    <div data-tab=""specifications"" class=""tab"">Specifications</div>
  </div>

  <!-- Tab Content: Overview -->
  <div class=""tab-content active"" id=""overview"">
    <p class=""h2""><strong>Ease of Play &amp; Rich Tonality</strong></p>
    <p>
      Designed with a simplified register key system and a comfortable ergonomic layout, the 1180 Bass Clarinet offers unmatched ease of playability. Its wide, expressive sound palette makes it a versatile choice for any musical genre, helping students grow musically while enjoying a professional experience.
    </p>
  </div>

  <!-- Tab Content: Features -->
  <div class=""tab-content"" id=""features"">
    <section>
      <header>
        <h1 class=""h2""><strong>Crafted for Young Musicians</strong></h1>
        <p class=""text-center1""><strong>Accessible, Durable, &amp; Professional</strong></p>
        <p>
          Made from carefully selected African blackwood (<em>Dalbergia melanoxylon</em>), the 1180 boasts a warm, resonant tone that complements its solid construction. With features like an adjustable thumb rest, silver-plated copper bell, and lightweight backpack case, this clarinet offers exceptional comfort and portability.
        </p>
      </header>
    </section>

    <section>
      <h2 class=""h3""><strong>Unmatched Precision</strong></h2>
      <p>
        From its blue steel springs ensuring fluid key movement to its leather pads for a reliable seal, the 1180 delivers precision in every note. The redesigned chalumeau register enhances interval transitions, making it easier for students to explore a full range of musical expression with confidence.
      </p>
    </section>
  </div>

  <!-- Tab Content: Specifications -->
  <div class=""tab-content"" id=""specifications"">
    <p class=""h2""><strong>Key Specifications</strong></p>
    <table class=""spec-table"">
      <colgroup>
        <col style=""width: 33%;"">
        <col style=""width: 67%;"">
      </colgroup>
      <tbody>
        <tr>
          <th>Model</th>
          <td>1180 Student Bass Clarinet</td>
        </tr>
        <tr>
          <th>Key</th>
          <td>B♭</td>
        </tr>
        <tr>
          <th>Pitch</th>
          <td>440/442 Hz</td>
        </tr>
        <tr>
          <th>Body Material</th>
          <td>Grenadilla wood (<em>Dalbergia melanoxylon</em>)</td>
        </tr>
        <tr>
          <th>Range</th>
          <td>Down to E♭</td>
        </tr>
        <tr>
          <th>Keywork</th>
          <td>18 keys, silver-plated</td>
        </tr>
        <tr>
          <th>Pads</th>
          <td>Leather with resonators</td>
        </tr>
        <tr>
          <th>Bell</th>
          <td>Silver-plated copper</td>
        </tr>
        <tr>
          <th>Thumb Rest</th>
          <td>Adjustable</td>
        </tr>
        <tr>
          <th>Case</th>
          <td>Lightweight, compact backpack style</td>
        </tr>
      </tbody>
    </table>
  </div>

  <footer>
    <p>
      Discover the joy of bass clarinet with the <strong>Buffet Crampon 1180 Student Bass Clarinet</strong>. Its professional-level features, unmatched sound quality, and exceptional craftsmanship make it the perfect instrument for students and aspiring musicians.
    </p>
  </footer>
</article>

<script>
  // Tab functionality
  const tabs = document.querySelectorAll('.tab');
  const contents = document.querySelectorAll('.tab-content');

  tabs.forEach(tab => {
    tab.addEventListener('click', () => {
      // Remove 'active' class from all tabs and contents
      tabs.forEach(t => t.classList.remove('active'));
      contents.forEach(c => c.classList.remove('active'));

      // Add 'active' class to the clicked tab and corresponding content
      tab.classList.add('active');
      document.getElementById(tab.dataset.tab).classList.add('active');
    });
  });
</script>
",Buffet Crampon,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Woodwinds > Clarinets > Bass Clarinets,Clarinets,"Auxiliary, B Flat, bass, bass clarinet, Bb, buffet, Buffet Crampon, INSTRUMENT, new, Student, wood",true,Title,Default Title,,,,,,,,BC1180-2-0,15648.936765,shopify,continue,manual,8093.00,12949.00,true,true,"",https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCrampon1180StudentBassClarinet_LowE_0.webp?v=1737618805,1,"",false,Buffet Crampon 1180 Student Bass Clarinet – Ideal for Young Musicians,"Explore the Buffet Crampon 1180 Student Bass Clarinet, crafted with African blackwood and a redesigned register system for superior playability.",88,,,,,,,,,,, Grenadilla Wood,{{ product.vendor }},Bass Clarinet,Bass Clarinet, Bb,,,, Silver Plated, Silver Plated,, Leather,,,Instrument,"Student
Intermediate
Professional",,,,,,15000,7500,,,boehm,,black,african-blackwood,bass,,,,,,,Student Clarinet,,lb,,5781.00,active
buffet-crampon-performance-series-bass-clarinet-low-eb,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCrampon1180StudentBassClarinet_LowE_4.webp?v=1737618805,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buffet-crampon-performance-series-bass-clarinet-low-eb,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCrampon1180StudentBassClarinet_LowE_2.webp?v=1737618805,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buffet-crampon-performance-series-bass-clarinet-low-eb,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCrampon1180StudentBassClarinet_LowE_3.webp?v=1737618805,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buffet-crampon-performance-series-bass-clarinet-low-eb,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCrampon1180StudentBassClarinet_LowE_1.webp?v=1737618805,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
